id,dag_id,execution_date,state,run_id,external_trigger,conf,end_date,start_date,run_type,last_scheduling_decision,dag_hash,creating_job_id
905,DAG_damage_return_etl2,"2021-01-06 02:45:00.000000",success,scheduled__2021-01-06T02:45:00+00:00,0,...,"2021-01-06 06:50:49.903485","2021-01-06 06:50:47.934232",scheduled,"2021-01-06 06:50:49.900520",da9e47668ce045243bfbc955612039e9,781
906,DAG_damage_return_etl2,"2021-01-06 02:50:00.000000",success,scheduled__2021-01-06T02:50:00+00:00,0,...,"2021-01-06 06:50:51.992047","2021-01-06 06:50:49.873125",scheduled,"2021-01-06 06:50:51.988720",da9e47668ce045243bfbc955612039e9,781
907,DAG_damage_return_etl2,"2021-01-06 02:55:00.000000",success,scheduled__2021-01-06T02:55:00+00:00,0,...,"2021-01-06 06:50:54.527061","2021-01-06 06:50:51.957661",scheduled,"2021-01-06 06:50:54.523893",da9e47668ce045243bfbc955612039e9,781
908,DAG_damage_return_etl2,"2021-01-06 03:00:00.000000",success,scheduled__2021-01-06T03:00:00+00:00,0,...,"2021-01-06 06:50:57.229655","2021-01-06 06:50:54.479121",scheduled,"2021-01-06 06:50:57.226494",da9e47668ce045243bfbc955612039e9,781
909,DAG_damage_return_etl2,"2021-01-06 03:05:00.000000",success,scheduled__2021-01-06T03:05:00+00:00,0,...,"2021-01-06 06:51:00.619459","2021-01-06 06:50:57.173709",scheduled,"2021-01-06 06:51:00.610515",da9e47668ce045243bfbc955612039e9,781
910,DAG_damage_return_etl2,"2021-01-06 03:10:00.000000",success,scheduled__2021-01-06T03:10:00+00:00,0,...,"2021-01-06 06:51:02.950962","2021-01-06 06:51:00.560183",scheduled,"2021-01-06 06:51:02.947442",da9e47668ce045243bfbc955612039e9,781
911,DAG_damage_return_etl2,"2021-01-06 03:15:00.000000",success,scheduled__2021-01-06T03:15:00+00:00,0,...,"2021-01-06 06:51:04.592080","2021-01-06 06:51:02.921236",scheduled,"2021-01-06 06:51:04.589032",da9e47668ce045243bfbc955612039e9,781
912,DAG_damage_return_etl2,"2021-01-06 03:20:00.000000",success,scheduled__2021-01-06T03:20:00+00:00,0,...,"2021-01-06 06:51:06.233334","2021-01-06 06:51:04.561359",scheduled,"2021-01-06 06:51:06.230349",da9e47668ce045243bfbc955612039e9,781
913,DAG_damage_return_etl2,"2021-01-06 03:25:00.000000",success,scheduled__2021-01-06T03:25:00+00:00,0,...,"2021-01-06 06:51:07.960850","2021-01-06 06:51:06.202601",scheduled,"2021-01-06 06:51:07.957694",da9e47668ce045243bfbc955612039e9,781
914,DAG_damage_return_etl2,"2021-01-06 03:30:00.000000",success,scheduled__2021-01-06T03:30:00+00:00,0,...,"2021-01-06 06:51:09.620338","2021-01-06 06:51:07.932660",scheduled,"2021-01-06 06:51:09.617268",da9e47668ce045243bfbc955612039e9,781
915,DAG_damage_return_etl2,"2021-01-06 03:35:00.000000",success,scheduled__2021-01-06T03:35:00+00:00,0,...,"2021-01-06 06:51:11.345699","2021-01-06 06:51:09.590429",scheduled,"2021-01-06 06:51:11.342745",da9e47668ce045243bfbc955612039e9,781
916,DAG_damage_return_etl2,"2021-01-06 03:40:00.000000",success,scheduled__2021-01-06T03:40:00+00:00,0,...,"2021-01-06 06:51:13.196133","2021-01-06 06:51:11.307920",scheduled,"2021-01-06 06:51:13.190502",da9e47668ce045243bfbc955612039e9,781
917,DAG_damage_return_etl2,"2021-01-06 03:45:00.000000",success,scheduled__2021-01-06T03:45:00+00:00,0,...,"2021-01-06 06:51:15.717879","2021-01-06 06:51:13.134672",scheduled,"2021-01-06 06:51:15.651793",da9e47668ce045243bfbc955612039e9,781
918,DAG_damage_return_etl2,"2021-01-06 03:50:00.000000",success,scheduled__2021-01-06T03:50:00+00:00,0,...,"2021-01-06 06:51:17.449714","2021-01-06 06:51:15.619020",scheduled,"2021-01-06 06:51:17.446555",da9e47668ce045243bfbc955612039e9,781
919,DAG_damage_return_etl2,"2021-01-06 03:55:00.000000",success,scheduled__2021-01-06T03:55:00+00:00,0,...,"2021-01-06 06:51:19.118258","2021-01-06 06:51:17.417769",scheduled,"2021-01-06 06:51:19.114926",da9e47668ce045243bfbc955612039e9,781
920,DAG_damage_return_etl2,"2021-01-06 04:00:00.000000",success,scheduled__2021-01-06T04:00:00+00:00,0,...,"2021-01-06 06:51:20.763758","2021-01-06 06:51:19.087886",scheduled,"2021-01-06 06:51:20.760667",da9e47668ce045243bfbc955612039e9,781
921,DAG_damage_return_etl2,"2021-01-06 04:05:00.000000",success,scheduled__2021-01-06T04:05:00+00:00,0,...,"2021-01-06 06:51:22.402308","2021-01-06 06:51:20.732301",scheduled,"2021-01-06 06:51:22.399236",da9e47668ce045243bfbc955612039e9,781
922,DAG_damage_return_etl2,"2021-01-06 04:10:00.000000",success,scheduled__2021-01-06T04:10:00+00:00,0,...,"2021-01-06 06:51:24.316945","2021-01-06 06:51:22.370531",scheduled,"2021-01-06 06:51:24.312213",da9e47668ce045243bfbc955612039e9,781
